host,profile
clabcl0,var_lam_loads_2rps/site1/traffic_dur1000_lam1.0_stime10_rate2.0_site1.npy
clabcl1,var_lam_loads_2rps/site1/traffic_dur1000_lam0.1_stime10_rate2.0_site1.npy
clabcl2,var_lam_loads_2rps/site1/traffic_dur1000_lam0.4_stime10_rate2.0_site1.npy
clabcl3,var_lam_loads_2rps/site1/traffic_dur1000_lam0.4_stime10_rate2.0_site1.npy
clabcl4,var_lam_loads_2rps/site1/traffic_dur1000_lam0.6_stime10_rate2.0_site1.npy
clabcl5,var_lam_loads_2rps/site1/traffic_dur1000_lam0.6_stime10_rate2.0_site1.npy
clabcl6,var_lam_loads_2rps/site1/traffic_dur1000_lam0.6_stime10_rate2.0_site1.npy
clabcl7,var_lam_loads_2rps/site1/traffic_dur1000_lam0.8_stime10_rate2.0_site1.npy
clabcl8,var_lam_loads_2rps/site1/traffic_dur1000_lam0.8_stime10_rate2.0_site1.npy
clabcl9,var_lam_loads_2rps/site1/traffic_dur1000_lam0.8_stime10_rate2.0_site1.npy
