host,profile
clabcl0,sfcabs-12-node-1rps/sfcabs-load-site0.npy
clabcl1,sfcabs-12-node-1rps/sfcabs-load-site2.npy
clabcl2,sfcabs-12-node-1rps/sfcabs-load-site3.npy
clabcl3,sfcabs-12-node-1rps/sfcabs-load-site7.npy
clabcl4,sfcabs-12-node-1rps/sfcabs-load-site8.npy
clabcl5,sfcabs-12-node-1rps/sfcabs-load-site9.npy
clabcl6,sfcabs-12-node-1rps/sfcabs-load-site1.npy
clabcl7,sfcabs-12-node-1rps/sfcabs-load-site4.npy
clabcl8,sfcabs-12-node-1rps/sfcabs-load-site5.npy
clabcl9,sfcabs-12-node-1rps/sfcabs-load-site6.npy
clabcl10,sfcabs-12-node-1rps/sfcabs-load-site10.npy
clabcl11,sfcabs-12-node-1rps/sfcabs-load-site11.npy
